SDSS_NAME,RA,DEC,REDSHIFT,g_SDSS,gerr_SDSS,r_SDSS,rerr_SDSS,i_SDSS,ierr_SDSS,LOGBH,LOGEDD_RATIO,LOGLBOL,ra,dec,g_HSC,gerr_HSC,r_HSC,rerr_HSC,i_HSC,ierr_HSC,hsc_id
b'145511.44+002146.0',223.797704,0.362791,2.0126,19.401,0.022,19.313,0.016,19.127,0.018,8.609481603011751,0.03167504836770263,46.74152719649702,223.79770486918704,0.3627980718775085,19.5991249,0.000776172266,19.4657326,0.000746133272,19.2147121,0.000560842804,42309628343644774
b'222515.91-000551.5',336.316328,-0.097644,1.2987,19.801,0.021,19.329,0.022,19.289,0.02,8.686710770401527,-0.5508653039688056,46.23621601155028,336.316308346713,-0.0976302386241907,19.7738647,0.000992923626,19.4352589,0.000899906445,19.4106178,0.000690981629,41575313490088584
b'230745.00-005122.7',346.937527,-0.85632,1.8319,20.032,0.031,19.95,0.023,19.659,0.024,8.980431365448363,-0.8666499790933528,46.21415193147257,346.93751794560177,-0.8563250112320862,19.9433975,0.00133816025,19.8245869,0.00170314184,19.6233692,0.000754286069,41605945196835007
b'231147.89+002942.0',347.949583,0.495018,1.9034,18.983,0.023,19.023,0.02,18.695,0.023,8.589251652656976,-0.07539299580745507,46.614229201967085,347.94956231889233,0.4950135502261785,19.0495987,0.000700759934,19.0932941,0.000760725816,18.8460865,0.000550236728,42679343423445331
b'011052.85+004648.6',17.720243,0.780192,0.4302,19.409,0.027,19.508,0.02,19.33,0.019,8.336075088777415,-1.1809409601557448,45.25550467373923,17.720218760162094,0.7801889050083667,19.5509224,0.000751103624,19.6231575,0.000686846615,19.7415791,0.00153311715,41698445907487058
b'020608.84-010756.7',31.53687,-1.132443,0.3781,20.18,0.03,19.681,0.02,19.398,0.026,8.337701377999819,-1.3309124147286937,45.10715950838869,31.536864936792377,-1.1324341611862645,20.2375069,0.00119792728,19.6686554,0.00102652796,19.5019131,0.00130651251,40669019556040287
b'022214.71-010530.6',35.561297,-1.091856,1.0565,19.949,0.032,19.562,0.016,19.451,0.022,8.090819199728877,-0.30113907743043455,45.890050667416006,35.56129109743318,-1.0918717095205224,19.8791027,0.000900835497,19.5657902,0.000777960289,19.7238121,0.00260183401,40682488573485872
b'084514.05+024919.0',131.308558,2.821963,0.6699,19.213,0.018,19.266,0.016,19.192,0.022,8.885835518600393,-1.3125470836192576,45.6736589800987,131.3085632697213,2.821979023078216,19.7576561,0.000944204105,19.6148224,0.00193835131,19.5629959,0.00107977795,43101160751519900
b'085729.19+034003.6',134.371632,3.667677,0.9662,19.201,0.023,19.055,0.015,19.093,0.019,8.324026760521887,-0.42398933718200027,46.00040796845745,134.37163422377364,3.6676836293567048,19.3359051,0.00080338656,19.1265316,0.000981501536,19.2435989,0.000987619045,44174133776372535
b'090241.94+051248.4',135.674757,5.213449,1.6347,20.343,0.033,20.239,0.032,19.991,0.034,8.65701516858459,-0.5936205415308038,46.163765172171345,135.67477944896245,5.213438950477388,19.8729744,0.00203339336,19.8602772,0.00250789872,19.7121639,0.00162726024,45242996517522653
b'090410.74+004507.4',136.044769,0.752064,1.4324,20.292,0.023,19.916,0.021,19.697,0.025,9.209271777889102,-1.117778596236569,46.191863726770094,136.044778498054,0.7520629501625508,20.0036392,0.000952458882,19.6846447,0.000919039361,19.6077175,0.000818040688,42050427067332062
b'090729.65+020211.7',136.873561,2.036586,1.0221,20.154,0.024,20.007,0.028,20.018,0.035,8.139559478811012,-0.6176132523905764,45.622316771538,136.87356398128836,2.036598270506387,20.3592281,0.00119904627,20.0720291,0.00107198965,20.1940842,0.00104399596,43119010635605866
b'092355.16+012756.0',140.979864,1.465578,1.3632,20.362,0.028,20.114,0.03,20.129,0.039,9.108482690021432,-1.4130576475479941,45.795795587591,140.979872714806,1.4655954755649008,20.5833855,0.00323322788,20.4115219,0.003538138,20.5757771,0.00138208841,42063363508816579
b'092409.84+023154.5',141.041005,2.53183,1.7024,20.402,0.034,20.42,0.032,20.188,0.042,8.803725028561207,-1.0641432670952966,45.83995230658347,141.04100690252375,2.53181969384098,20.8581791,0.00205236557,20.7863312,0.00287873624,20.6219025,0.00172182522,43132492537943497
